Rk,Player,From,To,Yrs,Lg,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
1,Bruce Affleck\afflebr01,1975,1979,5,NHL,274,14,65,79,-81,86,10,4,0,2,48,14,3,363,3.9,,
2,Kenny Agostino\agostke01,2017,2017,1,NHL,7,1,2,3,0,2,1,0,0,0,1,1,0,17,5.9,89,12:47
3,Glenn Anderson*\andergl01,1995,1996,2,NHL,51,14,16,30,-2,43,12,2,0,3,13,3,0,89,15.7,,
4,Perry Anderson\anderpe01,1982,1985,4,NHL,144,22,18,40,-14,355,22,0,0,2,18,0,0,168,13.1,,
5,Ron Anderson\anderro01,1970,1970,1,NHL,59,9,9,18,9,36,8,1,0,0,8,1,0,107,8.4,,
6,Lou Angotti\angotlo01,1974,1974,1,NHL,51,12,23,35,-3,9,11,1,0,5,21,2,0,84,14.3,,
7,Al Arbour*\arboual01,1968,1971,4,NHL,231,2,21,23,27,191,1,1,0,1,18,1,2,97,2.1,,
8,John Arbour\arboujo01,1971,1972,2,NHL,70,1,6,7,-4,91,1,0,0,0,6,0,0,71,1.4,,
9,Derek Armstrong\armstde01,2010,2010,1,NHL,6,0,0,0,-2,2,0,0,0,0,0,0,0,6,0,42,6:59
10,Jason Arnott\arnotja01,2012,2012,1,NHL,72,17,17,34,13,26,11,6,0,3,9,8,0,142,12,1014,14:05
11,Blair Atcheynum\atchebl01,1998,1999,2,NHL,73,13,17,30,7,12,12,0,1,4,15,0,2,126,10.3,188,15:38
12,Ron Attwell\attwero01,1968,1968,1,NHL,18,1,7,8,-10,6,1,0,0,0,5,2,0,31,3.2,,
13,Keith Aucoin\aucoike01,2014,2014,1,NHL,2,0,0,0,-3,0,0,0,0,0,0,0,0,1,0,27,13:19
14,Don Awrey\awreydo01,1974,1975,2,NHL,95,5,24,29,-14,55,4,1,0,0,20,3,1,111,4.5,,
15,Mitch Babin\babinmi01,1976,1976,1,NHL,8,0,0,0,-2,0,0,0,0,0,0,0,0,2,0,,
16,Wayne Babych\babycwa01,1979,1984,6,NHL,396,155,190,345,-18,384,111,44,0,15,145,45,0,1067,14.5,,
17,David Backes\backeda01,2007,2016,10,NHL,727,206,254,460,65,969,144,58,4,26,196,53,5,1650,12.5,13264,18:15
18,Christian Backman\backmch01,2003,2008,5,NHL,228,19,45,64,-6,130,14,5,0,1,30,15,0,276,6.9,4840,21:14
19,Ace Bailey\bailega01,1974,1975,2,NHL,71,22,29,51,-4,133,22,0,0,1,20,9,0,144,15.3,,
20,Bill Baker\bakerbi01,1982,1982,1,NHL,35,3,5,8,-7,50,3,0,0,0,5,0,0,44,6.8,,
21,Ivan Barbashev\barbaiv01,2017,2019,3,NHL,143,20,23,43,-4,15,18,0,2,2,23,0,0,105,19,1687,11:48
22,Murray Baron\baronmu01,1992,2004,7,NHL,409,13,40,53,-20,631,13,0,0,1,38,0,2,348,3.7,1538,19:14
23,Normand Baron\baronno01,1986,1986,1,NHL,23,2,0,2,-6,39,2,0,0,0,0,0,0,13,15.4,,
24,Dave Barr\barrda01,1984,1987,4,NHL,150,29,56,85,15,102,27,2,0,3,48,8,0,185,15.7,,
25,Lubos Bartecko\bartelu01,1999,2001,3,NHL,149,26,42,68,27,69,23,3,0,7,35,7,0,163,16,1852,12:26
26,Bob Bassen\bassebo01,1991,2000,5,NHL,284,35,63,98,12,483,31,0,4,2,58,1,4,378,9.3,266,9:51
27,Jeff Batters\batteje01,1994,1995,2,NHL,16,0,0,0,-4,28,0,0,0,0,0,0,0,4,0,,
28,Norm Beaudin\beaudno01,1968,1968,1,NHL,13,1,1,2,-4,4,0,1,0,0,0,1,0,9,11.1,,
29,Eddy Beers\beersed01,1986,1986,1,NHL,24,7,11,18,-3,24,7,0,0,0,9,2,0,52,13.5,,
30,Derek Bekar\bekarde01,2000,2000,1,NHL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,5,5:14
31,Bruce Bell\bellbr01,1986,1987,2,NHL,120,5,31,36,7,61,2,3,0,0,16,15,0,145,3.4,,
32,Beau Bennett\bennebe01,2018,2018,1,NHL,6,0,0,0,-2,0,0,0,0,0,0,0,0,6,0,65,10:48
33,Curt Bennett\bennecu01,1971,1979,4,NHL,159,26,41,67,-46,146,25,1,0,3,39,2,0,267,9.7,,
34,Harvey Bennett\benneha02,1979,1979,1,NHL,52,3,9,12,-18,63,3,0,0,0,9,0,0,44,6.8,,
35,Brian Benning\bennibr01,1985,1990,5,NHL,232,30,94,124,-37,321,15,15,0,7,43,49,2,375,8,,
36,Andre Benoit\benoian01,2016,2016,1,NHL,2,0,0,0,1,0,0,0,0,0,0,0,0,0,,27,13:35
37,Red Berenson\berenre01,1968,1978,8,NHL,519,172,240,412,-57,194,132,36,4,29,152,82,6,1560,11,,
38,Marc Bergevin\bergema01,1997,2002,6,NHL,328,5,23,28,9,319,5,0,0,0,20,1,2,178,2.8,2960,17:56
39,Patrik Berglund\berglpa01,2009,2018,10,NHL,694,168,154,322,10,242,124,39,5,28,111,42,1,1343,12.5,11017,15:52
40,Sammy Blais\blaissa01,2018,2019,2,NHL,37,3,3,6,-1,12,2,1,0,0,3,0,0,31,9.7,374,10:06
41,Eric Boguniecki\boguner01,2001,2006,5,NHL,125,29,36,65,17,66,22,6,1,7,27,9,0,180,16.1,1735,13:53
42,Christian Bordeleau\bordech01,1971,1972,2,NHL,119,29,41,70,0,54,24,3,2,8,30,10,1,305,9.5,,
43,Jack Borotsik\borotja01,1975,1975,1,NHL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
44,Robert Bortuzzo\borturo01,2015,2019,5,NHL,203,10,21,31,25,168,10,0,0,1,20,0,1,240,4.2,2939,14:29
45,Tim Bothwell\bothwti01,1983,1989,6,NHL,373,21,75,96,39,297,18,2,1,3,64,9,2,397,5.3,,
46,Andre Boudrias\boudran01,1970,1970,1,NHL,50,3,14,17,7,20,2,1,0,2,14,0,0,95,3.2,,
47,Jesse Boulerice\bouleje01,2006,2006,1,NHL,12,0,0,0,-4,13,0,0,0,0,0,0,0,2,0,32,2:39
48,Rick Bourbonnais\bourbri01,1976,1978,3,NHL,71,9,15,24,-18,29,6,3,0,1,14,1,0,105,8.6,,
49,Charlie Bourgeois\bourgch01,1986,1988,3,NHL,127,4,20,24,20,358,4,0,0,2,18,1,1,96,4.2,,
50,Jay Bouwmeester\bouwmja01,2013,2019,7,NHL,414,15,96,111,41,148,13,2,0,1,77,18,1,585,2.6,9299,22:28
51,Rick Bowness\bowneri01,1979,1980,2,NHL,34,2,5,7,-19,41,2,0,0,0,4,1,0,22,9.1,,
52,Brad Boyes\boyesbr01,2007,2011,5,NHL,327,106,126,232,-7,106,73,33,0,26,85,41,0,799,13.3,5813,17:47
53,Tyler Bozak\bozakty01,2019,2019,1,NHL,53,9,17,26,-4,12,7,2,0,2,13,4,0,102,8.8,872,16:27
54,Steve Bozek\bozekst01,1988,1988,1,NHL,7,0,0,0,-2,2,0,0,0,0,0,0,0,6,0,,
55,Philippe Bozon\bozonph01,1992,1995,4,NHL,144,16,25,41,6,101,15,0,1,1,23,1,1,227,7,,
56,Curt Brackenbury\brackcu01,1983,1983,1,NHL,6,1,0,1,-8,6,1,0,0,0,0,0,0,2,50,,
57,Carl Brewer\breweca01,1971,1972,2,NHL,61,4,25,29,-7,69,4,0,0,1,11,12,2,93,4.3,,
58,Eric Brewer\breweer01,2006,2011,6,NHL,332,30,65,95,-75,332,26,4,0,3,41,23,1,495,6.1,7828,23:35
59,Aris Brimanis\brimaar01,2004,2004,1,NHL,13,0,0,0,0,4,0,0,0,0,0,0,0,3,0,156,12:02
60,Rod Brind'Amour\brindro01,1990,1991,2,NHL,157,43,67,110,25,139,29,14,0,4,54,13,0,329,13.1,,
61,Kyle Brodziak\brodzky01,2016,2018,3,NHL,226,25,34,59,14,97,21,0,4,8,32,0,2,217,11.5,2685,11:53
62,Gord Brooks\brookgo01,1972,1974,2,NHL,32,6,8,14,0,12,6,0,0,1,7,0,1,53,11.3,,
63,Paul Broten\brotepa01,1996,1996,1,NHL,17,0,1,1,-1,4,0,0,0,0,1,0,0,11,0,,
64,Troy Brouwer\brouwtr01,2016,2016,1,NHL,82,18,21,39,2,62,11,7,0,4,18,3,0,142,12.7,1394,17:00
65,Jeff Brown\brownje02,1990,1994,5,NHL,329,80,214,294,-19,218,35,41,4,8,89,120,5,986,8.1,,
66,Jack Brownschidle\brownja01,1978,1984,7,NHL,455,36,156,192,-29,132,19,16,1,5,89,62,5,716,5,,
67,David Bruce\bruceda01,1991,1991,1,NHL,12,1,2,3,1,14,1,0,0,0,2,0,0,23,4.3,,
68,Ron Buchanan\bucharo01,1970,1970,1,NHL,2,0,0,0,-1,0,0,0,0,0,0,0,0,4,0,,
69,Mike Bullard\bullami01,1989,1989,1,NHL,20,4,12,16,1,46,2,2,0,0,8,4,0,52,7.7,,
70,Valeri Bure\bureva01,2003,2003,1,NHL,5,0,2,2,-2,0,0,0,0,0,0,2,0,11,0,76,15:11
71,Garth Butcher\butchga01,1991,1994,4,NHL,208,11,35,46,3,508,10,0,1,2,34,1,0,175,6.3,,
72,Chris Butler\butlech01,2015,2019,5,NHL,58,4,7,11,11,29,3,0,1,0,7,0,0,71,5.6,909,15:40
73,Jerry Butler\butleje01,1976,1978,3,NHL,155,29,46,75,-37,145,28,1,0,3,39,6,1,319,9.1,,
74,Gord Buynak\buynago01,1975,1975,1,NHL,4,0,0,0,3,2,0,0,0,0,0,0,0,3,0,,
75,Petr Cajanek\cajanpe01,2003,2007,4,NHL,269,46,107,153,15,144,35,9,2,6,66,40,1,533,8.6,4650,17:17
76,Craig Cameron\camercr01,1968,1971,3,NHL,182,32,13,45,-18,80,29,2,1,4,12,1,0,252,12.7,,
77,Jim Campbell\campbji01,1997,2000,4,NHL,201,49,60,109,-5,173,36,13,0,12,37,21,2,421,11.6,777,13:38
78,Scott Campbell\campbsc01,1982,1982,1,NHL,3,0,0,0,-2,52,0,0,0,0,0,0,0,0,,,
79,Guy Carbonneau\carbogu01,1995,1995,1,NHL,42,5,11,16,11,16,4,1,0,1,10,0,1,33,15.2,,
80,Claude Cardin\cardicl01,1968,1968,1,NHL,1,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,,
81,Jack Carlson\carlsja01,1983,1984,2,NHL,112,12,9,21,7,153,12,0,0,1,9,0,0,78,15.4,,
82,Kent Carlson\carlske01,1986,1986,1,NHL,26,2,3,5,2,42,2,0,0,0,3,0,0,14,14.3,,
83,Jordan Caron\caronjo01,2016,2016,1,NHL,4,0,0,0,-3,0,0,0,0,0,0,0,0,1,0,33,8:08
84,Gene Carr\carrge01,1972,1972,1,NHL,14,3,2,5,0,9,3,0,0,0,2,0,0,29,10.3,,
85,Gino Cavallini\cavalgi01,1986,1992,7,NHL,454,91,120,211,-12,429,79,11,1,17,107,13,0,824,11,,
86,Paul Cavallini\cavalpa01,1988,1993,6,NHL,337,37,120,157,99,514,25,10,2,2,87,28,5,583,6.3,,
87,Blair Chapman\chapmbl01,1980,1983,4,NHL,175,58,74,132,-9,87,48,10,0,10,54,20,0,312,18.6,,
88,Kelly Chase\chaseke01,1990,2000,8,NHL,345,14,26,40,-13,1497,14,0,0,3,25,1,0,192,7.3,461,6:35
89,Denis Chasse\chassde01,1994,1996,3,NHL,92,10,10,20,4,256,8,2,0,1,10,0,0,78,12.8,,
90,Vladimir Chebaturkin\chebavl01,2001,2001,1,NHL,22,1,2,3,5,26,1,0,0,0,2,0,0,5,20,289,13:09
91,Taylor Chorney\chornta01,2012,2012,1,NHL,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,23,11:40
92,Guy Chouinard\chouigu01,1984,1984,1,NHL,64,12,34,46,-15,10,8,4,0,2,18,16,0,117,10.3,,
93,Dave Christian\chrisda01,1992,1992,1,NHL,78,20,24,44,2,41,16,1,3,3,17,6,1,142,14.1,,
94,Dale Clarke\clarkda02,2001,2001,1,NHL,3,0,0,0,1,0,0,0,0,0,0,0,0,5,0,41,13:38
95,Carlo Colaiacovo\colaica01,2009,2014,5,NHL,284,19,91,110,9,152,13,5,1,4,49,41,1,319,6,5098,17:57
96,Ian Cole\coleia01,2011,2015,5,NHL,167,9,22,31,40,142,9,0,0,0,20,2,0,147,6.1,2645,15:50
97,Bill Collins\collibi01,1974,1975,2,NHL,82,24,17,41,-6,48,20,2,2,2,14,1,2,163,14.7,,
98,Bob Collyard\collybo01,1974,1974,1,NHL,10,1,3,4,1,4,1,0,0,0,3,0,0,12,8.3,,
99,Wayne Connelly\connewa01,1971,1972,2,NHL,43,10,21,31,-11,11,10,0,0,0,10,11,0,150,6.7,,
100,Craig Conroy\conrocr01,1997,2001,5,NHL,359,57,94,151,41,209,47,1,9,8,85,2,7,525,10.9,3286,15:09
101,Daniel Corso\corsoda01,2001,2003,3,NHL,70,14,10,24,2,20,8,6,0,6,7,3,0,67,20.9,858,12:15
102,Shayne Corson\corsosh01,1996,1997,2,NHL,88,20,29,49,-1,216,6,14,0,0,19,9,1,169,11.8,,
103,Geoff Courtnall\courtge01,1991,2000,6,NHL,326,106,126,232,30,371,78,27,1,17,94,32,0,911,11.6,441,14:42
104,Bruce Cowick\cowicbr01,1976,1976,1,NHL,5,0,0,0,1,2,0,0,0,0,0,0,0,3,0,,
105,Craig Coxe\coxecr01,1989,1989,1,NHL,41,0,7,7,3,127,0,0,0,0,7,0,0,15,0,,
106,Adam Cracknell\crackad01,2011,2014,4,NHL,65,6,10,16,5,12,6,0,0,0,10,0,0,64,9.4,557,8:34
107,Bob Crawford\crawfbo01,1980,1983,3,NHL,38,6,10,16,-15,4,5,1,0,0,9,1,0,84,7.1,,
108,Adam Creighton\creigad01,1995,1996,2,NHL,109,25,30,55,17,152,20,5,0,4,22,8,0,179,14,,
109,Terry Crisp\crispte01,1968,1972,5,NHL,285,38,64,102,29,51,27,2,9,5,57,3,4,360,10.6,,
110,B.J. Crombeen\crombbj01,2009,2012,4,NHL,265,26,23,49,-33,515,23,0,3,4,21,1,1,395,6.6,3296,12:26
111,Mike Crombeen\crombmi01,1979,1983,5,NHL,325,47,53,100,-39,164,43,1,3,5,50,0,3,410,11.5,,
112,Doug Crossman\crossdo01,1993,1994,2,NHL,69,4,14,18,-2,20,1,3,0,0,6,8,0,54,7.4,,
113,Tony Currie\currito01,1978,1982,5,NHL,207,68,88,156,14,63,62,6,0,11,64,24,0,377,18,,
114,Paul Curtis\curtipa01,1973,1973,1,NHL,29,1,4,5,2,6,1,0,0,0,4,0,0,37,2.7,,
115,Denis Cyr\cyrde01,1985,1986,2,NHL,40,8,7,15,-10,2,8,0,0,1,7,0,0,33,24.2,,
116,Matt D'Agostini\dagosma01,2010,2013,4,NHL,160,31,35,66,13,71,22,9,0,8,27,8,0,289,10.7,2236,13:58
117,J.J. Daigneault\daignjj01,1996,1996,1,NHL,37,1,3,4,-6,24,1,0,0,0,0,3,0,45,2.2,,
118,Kevin Dallman\dallmke01,2006,2006,1,NHL,46,4,9,13,-15,21,1,3,0,0,5,4,0,89,4.5,866,18:49
119,Mike Danton\dantomi01,2004,2004,1,NHL,68,7,5,12,-8,141,6,0,1,0,3,2,0,72,9.7,812,11:57
120,Michael Dark\darkmi01,1987,1988,2,NHL,43,5,6,11,6,14,5,0,0,1,6,0,0,31,16.1,,
121,Stefan Della Rovere\dellast01,2011,2011,1,NHL,7,0,0,0,0,11,0,0,0,0,0,0,0,4,0,43,6:05
122,Gilbert Delorme\delorgi01,1984,1985,2,NHL,118,2,17,19,-1,94,1,1,0,0,16,1,0,154,1.3,,
123,Ab DeMarco\demarab02,1973,1974,2,NHL,37,7,18,25,10,13,7,0,0,1,5,13,0,122,5.7,,
124,Pavol Demitra\demitpa01,1997,2004,8,NHL,494,204,289,493,99,160,137,63,4,45,190,99,0,1382,14.8,8324,19:35
125,Norm Dennis\dennino01,1969,1972,4,NHL,12,3,0,3,-4,11,2,1,0,0,0,0,0,13,23.1,,
126,Robert Dirk\dirkro01,1988,1991,4,NHL,94,2,6,8,8,255,2,0,0,0,6,0,0,43,4.7,,
127,Jon DiSalvatore\disaljo01,2006,2006,1,NHL,5,0,0,0,-1,2,0,0,0,0,0,0,0,3,0,42,8:27
128,Ted Donato\donatte01,2002,2002,1,NHL,2,0,0,0,-2,2,0,0,0,0,0,0,0,0,,19,9:17
129,Andre Dore\dorean01,1983,1984,2,NHL,93,5,27,32,13,83,5,0,0,1,25,2,0,92,5.4,,
130,Aaron Downey\downeaa01,2006,2006,1,NHL,17,2,0,2,0,45,2,0,0,0,0,0,0,11,18.2,67,3:56
